iter	Passed	Remaining
0	120	120291
1	188	93843
2	251	83520
3	258	64384
4	265	52754
5	271	44939
6	295	41980
7	302	37513
8	308	33934
9	328	32552
10	350	31547
11	378	31139
12	398	30242
13	404	28521
14	453	29780
15	459	28271
16	523	30273
17	529	28897
18	565	29198
19	636	31188
20	688	32095
21	743	33056
22	798	33931
23	849	34561
24	902	35193
25	942	35303
26	997	35961
27	1042	36184
28	1095	36674
29	1157	37422
30	1206	37697
31	1260	38122
32	1312	38454
33	1343	38164
34	1395	38486
35	1440	38581
36	1476	38438
37	1515	38364
38	1558	38409
39	1597	38333
40	1634	38231
41	1667	38027
42	1702	37886
43	1732	37647
44	1768	37528
45	1805	37448
46	1855	37627
47	1891	37518
48	1935	37557
49	1986	37752
50	2031	37799
51	2068	37714
52	2099	37513
53	2145	37579
54	2179	37456
55	2220	37436
56	2276	37660
57	2315	37604
58	2353	37529
59	2397	37556
60	2405	37028
61	2443	36962
62	2484	36947
63	2521	36882
64	2561	36852
65	2607	36905
66	2647	36867
67	2692	36899
68	2732	36870
69	2818	37450
70	2855	37363
71	2901	37395
72	2950	37472
73	3012	37691
74	3054	37675
75	3083	37491
76	3120	37410
77	3152	37263
78	3200	37307
79	3258	37474
80	3300	37444
81	3327	37250
82	3354	37058
83	3407	37159
84	3451	37157
85	3474	36927
86	3502	36760
87	3536	36655
88	3554	36388
89	3595	36358
90	3619	36158
91	3650	36030
92	3688	35969
93	3745	36100
94	3782	36031
95	3820	35978
96	3864	35977
97	3890	35804
98	3924	35712
99	3963	35669
100	4005	35654
101	4039	35559
102	4073	35476
103	4115	35456
104	4159	35457
105	4190	35339
106	4231	35315
107	4264	35223
108	4289	35064
109	4311	34886
110	4363	34944
111	4405	34928
112	4448	34922
113	4480	34818
114	4516	34756
115	4553	34698
116	4596	34689
117	4632	34623
118	4668	34561
119	4722	34630
120	4754	34539
121	4794	34507
122	4832	34456
123	4882	34491
124	4914	34404
125	4951	34346
126	4993	34325
127	5021	34206
128	5055	34136
129	5097	34116
130	5131	34041
131	5174	34024
132	5223	34048
133	5255	33967
134	5292	33912
135	5327	33844
136	5355	33736
137	5383	33627
138	5426	33615
139	5459	33538
140	5484	33410
141	5517	33339
142	5548	33251
143	5562	33065
144	5604	33047
145	5652	33061
146	5696	33057
147	5726	32963
148	5755	32871
149	5781	32760
150	5809	32664
151	5847	32621
152	5876	32531
153	5911	32474
154	5955	32466
155	6009	32511
156	6043	32448
157	6060	32295
158	6109	32313
159	6155	32316
160	6190	32260
161	6228	32220
162	6277	32232
163	6309	32163
164	6347	32122
165	6380	32058
166	6425	32051
167	6463	32008
168	6491	31921
169	6521	31838
170	6536	31690
171	6584	31695
172	6622	31657
173	6653	31584
174	6676	31474
175	6737	31543
176	6770	31482
177	6802	31414
178	6833	31340
179	6875	31322
180	6921	31319
181	6952	31248
182	6983	31176
183	7016	31116
184	7056	31087
185	7087	31017
186	7126	30981
187	7162	30935
188	7183	30825
189	7220	30781
190	7246	30695
191	7280	30637
192	7310	30567
193	7344	30513
194	7387	30498
195	7440	30522
196	7481	30495
197	7504	30398
198	7565	30450
199	7609	30439
200	7642	30378
201	7679	30336
202	7705	30252
203	7730	30165
204	7770	30135
205	7813	30115
206	7840	30036
207	7870	29967
208	7895	29881
209	7945	29889
210	8000	29917
211	8038	29879
212	8060	29780
213	8109	29784
214	8158	29787
215	8197	29752
216	8219	29658
217	8258	29625
218	8274	29508
219	8316	29485
220	8323	29340
