2025-01-21 17:12:20 - INFO - Logging has been set up successfully.
2025-01-21 17:12:26 - INFO - Logging set up for CAT Model Training
2025-01-21 17:15:22 - INFO - Starting Optuna Trial 0: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:15:41 - INFO - Starting Optuna Trial 1: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:15:56 - INFO - Starting Optuna Trial 2: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:16:08 - INFO - Starting Optuna Trial 3: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:16:33 - INFO - Starting Optuna Trial 4: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:16:51 - INFO - Starting Optuna Trial 5: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:17:05 - INFO - Starting Optuna Trial 6: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:17:11 - INFO - Starting Optuna Trial 7: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:17:27 - INFO - Starting Optuna Trial 8: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:17:29 - INFO - Starting Optuna Trial 9: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:17:44 - INFO - Starting Optuna Trial 10: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:17:57 - INFO - Starting Optuna Trial 11: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:18:14 - INFO - Starting Optuna Trial 12: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:18:26 - INFO - Starting Optuna Trial 13: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:18:42 - INFO - Starting Optuna Trial 14: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:19:12 - INFO - Starting Optuna Trial 15: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:19:21 - INFO - Starting Optuna Trial 16: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:19:45 - INFO - Starting Optuna Trial 17: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:20:16 - INFO - Starting Optuna Trial 18: YetiRank:top=1, Metric: NDCG:top=1
2025-01-21 17:20:33 - INFO - Starting Optuna Trial 19: YetiRank:top=1, Metric: NDCG:top=1
