post_time,course_cd,race_number,todays_cls,distance,dist_unit,surface_type_code,surface,stkorclm,purse,claimamt,age_restr,race_date,race_text,bet_opt,send_track,raceord,partim,dist_disp,breed_type,stk_clm_md
16:43:00,EQE,1,111,800.0,F,D,D,ST,1000000,0,3U,2022-06-11,Hill 'N' Dale Metropolitan H. BEL - R9 - Grade 1 A HANDICAP FOR THREE YEAR OLDS AND UPWARD.,Met Mile - Belmont Stakes Double,EQE,1.0,0.0,1M,TB,STK
16:22:00,EQC,1,95,650.0,F,T,T,CL,58000,75000,03,2022-05-20,"SA - R7 - (Rail at 30 feet). FOR THREE YEAR OLDS. Weight, 124 lbs. Non-winners Of A Race Since February 20 Allowed 2 lbs. Claiming Price $75,000, For Each $5,000 To $60,000 1 lb. (Maiden And Claiming Races For $32,000 Or Less Not Considered In Allowances).",Leg 1 of the Golden Hour Pick 4,EQC,1.0,0.0,6 1/2F,TB,CLM
13:05:00,SAR,1,80,600.0,F,D,D,MS,88000,0,02,2022-09-02,"Trk Rcrd: (1:07.92) FOR MAIDENS, FILLIES TWO YEARS OLD  FOALED IN NEW YORK STATE AND APPROVED BY THE NEW YORK STATE-BRED REGISTRY. Weight, 119 lbs. (Non-Starters For A Claiming Price Of $40,000 Or Less In The Last 3 Starts Preferred).","Exacta, Trifecta (.50), Super (.10), Pick 3 Races (1-3) Early Pick 5 (.50) Races (1-5), Double Wagers",SAR,1.0,111.77,6F,TB,MDN
15:45:00,CTM,1,55,800.0,F,D,D,MC,7500,3500,3U,2022-09-03,"Trk Rcrd: (1:33.65) FOR MAIDENS, THREE YEARS OLD  AND UPWARD. Three Year Olds, 123 lbs.; Older, 126 lbs. Claiming Price $3,500. Alberta Bred Claiming Price $4,375.",Exacta / Trifecta / Superfecta / Early Double / Pick 4 (Races 1-4),CTM,1.0,139.9,1M,TB,MDN
18:15:00,CTM,1,78,350.0,Y,D,D,TR,8000,0,3U,2022-05-20,"Quarter Horse 350Y, A TRIAL FOR HORSES WHO ARE MAIDENS. An early payment of $200.00 due March 1st to the AQHRA office and a sustaining payment of $200 required April 3rd to the AQHRA office to sustain eligibility. Weight: Three-Year-Olds 124 lbs. Older: 126 lbs.",Exacta / Trifecta / Pick 4 (Races 1-4),CTM,1.0,0.0,350Y,QH,STK
15:49:00,CCP,1,88,818.0,F,D,D,ST,150000,0,03,2022-02-12,Suncoast S. TAM - R8 - FOR FILLIES THREE YEARS OLD.,Leg A of the Cross Country Pick 5,CCP,1.0,0.0,1M 40Y,TB,STK
14:45:00,CMR,1,38,850.0,F,D,D,CL,6000,4000,4U,2022-02-25,"FOR NATIVE FOUR YEAR OLDS AND UPWARD WHICH HAVE NOT WON A RACE SINCE FEBRUARY 25 AND WHICH HAVE STARTED FOR A CLAIMING PRICE OF $4,000 OR LESS. Weight, 120 lbs. 4#A clasf.$4,000 y debts Allowed 4 lbs. Claiming Price $4,000.",Exacta / Daily Double 1-2,CMR,1.0,152.55,1 1/16M,TB,CLM
15:45:00,CTM,1,95,600.0,F,D,D,SA,14500,6250,3U,2022-07-16,"Trk Rcrd: (1:07.51) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $6,250 OR LESS IN 2021 - 2022 AND HAS NOT WON A STARTER ALLOWANCE AT CENTURY MILE'S 2022 MEET. Three Year Olds, 121 lbs.; Older, 126 lbs. Non-winners Of A Race In 2022 Allowed 2 lbs.",Exacta / Trifecta / Superfecta / Early Double / Pick 4 (Races 1-4),CTM,1.0,109.11,6F,TB,ALW
13:05:00,SAR,1,78,800.0,F,D,D,MC,52000,40000,3U,2022-07-16,"Trk Rcrd: (1:34.72) (UP TO $9,048 NYSBFOA) FOR MAIDENS, THREE YEARS OLD  AND UPWARD. Three Year Olds, 118 lbs.; Older, 124 lbs. Claiming Price $40,000 (1.5% Aftercare Assessment Due At Time Of Claim Otherwise Claim Will Be Void).","Exacta, Trifecta (.50), Super (.10), Pick 3 Races (1-3) Early Pick 5 (.50) Races (1-5), Double Wagers",SAR,1.0,140.53,1M,TB,MDN
18:22:00,EQG,1,106,600.0,F,T,T,ST,200000,0,4U,2022-06-10,"Intercontinental S. BEL - R11 - Grade 3 FOR FILLIES AND MARES, FOUR YEAR OLDS AND UPWARD.",Filly &Mare Double,EQG,1.0,0.0,6F,TB,STK
