course_cd,race_date,race_number,chosen_arm,expected_net
IND,2025-04-29,4,Daily Double_top1_box,0.9026245819618994
IND,2025-04-30,8,Pick 4_top1_box,0.0
IND,2025-04-30,2,Pick 3_top1_box,0.0
PEN,2025-05-03,6,Daily Double_top1_box,0.9536797632888457
PEN,2025-05-03,1,Daily Double_top1_box,0.0
PEN,2025-05-01,3,Daily Double_top1_box,0.0
TAM,2025-04-30,5,Daily Double_top1_box,0.0
TAM,2025-04-30,1,Daily Double_top1_box,0.0
TAM,2025-04-30,7,no_bet,0.0
TCD,2025-05-01,10,Pick 4_top1_box,0.0
TCD,2025-05-02,5,Pick 3_top1_box,0.0
TCD,2025-05-01,1,Daily Double_top1_box,0.0
TCD,2025-05-02,4,exacta_top2_box,71.63999938964844
TCD,2025-05-03,9,Daily Double_top1_box,0.0
TCD,2025-04-30,4,no_bet,0.0
TCD,2025-05-03,1,Daily Double_top1_box,0.5600000381469726
TGP,2025-05-01,4,no_bet,0.0
TLS,2025-05-03,2,Pick 3_top1_box,0.9667037996731267
TLS,2025-05-03,1,Daily Double_top1_box,0.0
TLS,2025-05-04,1,Daily Double_top1_box,0.5600000381469726
TLS,2025-05-04,7,Daily Double_top1_box,38.79999923706055
TOP,2025-05-01,3,Daily Double_top1_box,0.0
TOP,2025-05-02,10,exacta_top2_box,-2.0
IND,2025-04-29,7,Pick 4_top1_box,0.0
IND,2025-04-29,8,Pick 4_top1_box,0.0
IND,2025-04-30,5,Pick 4_top1_box,0.0
PEN,2025-05-02,2,Daily Double_top1_box,0.5600000381469726
PEN,2025-05-03,4,exacta_top2_box,7.0
TCD,2025-05-03,3,Pick 3_top1_box,0.6334281833776382
TCD,2025-05-02,6,Pick 3_top1_box,-2.0
TCD,2025-05-01,5,exacta_top2_box,0.0
TCD,2025-05-03,7,superfecta_top4_box,-2.0
TCD,2025-05-01,12,Pick 4_top1_box,0.0
TCD,2025-05-03,14,Pick 4_top1_box,0.0
TCD,2025-05-03,11,Daily Double_top1_box,48.20000076293945
TGP,2025-05-01,2,Pick 3_top1_box,0.0
TLS,2025-05-04,8,Pick 4_top1_box,0.0
TOP,2025-05-02,5,superfecta_top4_box,0.7845940058086849
TOP,2025-05-02,8,Daily Double_top1_box,0.0
IND,2025-04-29,2,Pick 3_top1_box,0.0
IND,2025-04-30,4,Daily Double_top1_box,8.800000190734863
PEN,2025-05-03,5,no_bet,0.0
TAM,2025-04-30,9,Pick 4_top1_box,0.7817986143605216
TCD,2025-04-29,2,Daily Double_top1_box,24.399999618530273
