iter	NDCG:top=4;type=Base_SumError	NDCG:top=4;type=Base_SumWeight
0	48548.11331	51075
1	49004.22718	51075
2	49144.24361	51075
3	49242.86184	51075
4	49332.9251	51075
5	49405.74134	51075
6	49469.34802	51075
7	49499.1287	51075
8	49530.3068	51075
9	49575.74534	51075
10	49610.43886	51075
11	49642.87701	51075
12	49668.30234	51075
13	49698.5893	51075
14	49727.54443	51075
15	49747.66928	51075
16	49771.16182	51075
17	49786.85358	51075
18	49798.35846	51075
19	49812.68992	51075
20	49819.55688	51075
21	49830.57529	51075
22	49839.46144	51075
23	49851.29787	51075
24	49862.57608	51075
25	49876.336	51075
26	49888.82347	51075
27	49897.854	51075
28	49908.74133	51075
29	49917.56574	51075
30	49930.07804	51075
31	49939.04532	51075
32	49947.20997	51075
33	49952.42142	51075
34	49959.32607	51075
35	49964.03681	51075
36	49968.83943	51075
37	49979.43784	51075
38	49988.02118	51075
39	49996.7556	51075
40	50003.26308	51075
41	50008.36142	51075
42	50012.15512	51075
43	50015.76377	51075
44	50024.26872	51075
45	50030.69514	51075
46	50032.49845	51075
47	50036.54722	51075
48	50043.68052	51075
49	50049.15189	51075
50	50053.15034	51075
51	50054.18631	51075
52	50061.33232	51075
53	50068.07364	51075
54	50071.16087	51075
55	50076.09708	51075
56	50080.40245	51075
57	50084.6392	51075
58	50087.98066	51075
59	50090.47402	51075
60	50093.68505	51075
61	50095.57929	51075
62	50098.9578	51075
63	50103.22154	51075
64	50108.02192	51075
65	50114.86941	51075
66	50117.66479	51075
67	50119.38149	51075
68	50124.04583	51075
69	50127.1704	51075
70	50128.18174	51075
71	50131.9721	51075
72	50133.14696	51075
73	50138.58651	51075
74	50140.65659	51075
75	50144.57169	51075
76	50146.64744	51075
77	50148.35248	51075
78	50150.59896	51075
79	50152.69206	51075
80	50155.26124	51075
81	50157.97926	51075
82	50159.48474	51075
83	50166.81135	51075
84	50169.14545	51075
85	50170.24336	51075
86	50183.75212	51075
87	50185.8761	51075
88	50194.69865	51075
89	50197.9096	51075
90	50200.59415	51075
91	50201.09862	51075
92	50202.94458	51075
93	50204.75707	51075
94	50207.44964	51075
95	50210.11279	51075
96	50211.52487	51075
97	50213.34346	51075
98	50215.36033	51075
99	50216.411	51075
100	50217.93105	51075
101	50224.63062	51075
102	50227.1672	51075
103	50227.05711	51075
104	50231.32714	51075
105	50232.05389	51075
106	50235.34894	51075
107	50236.5005	51075
108	50237.24749	51075
109	50238.06087	51075
110	50238.82599	51075
111	50240.53845	51075
112	50242.07612	51075
113	50243.6526	51075
114	50244.76111	51075
115	50247.0398	51075
116	50247.37078	51075
117	50248.59175	51075
118	50250.69364	51075
119	50254.75594	51075
120	50255.10894	51075
121	50257.43188	51075
122	50258.01752	51075
123	50259.98223	51075
124	50260.32389	51075
125	50261.37146	51075
126	50261.21016	51075
127	50262.14224	51075
128	50264.49327	51075
129	50266.05282	51075
130	50272.12286	51075
131	50272.63472	51075
132	50274.97642	51075
133	50279.31669	51075
134	50280.10531	51075
135	50279.87078	51075
136	50281.21476	51075
137	50281.68487	51075
138	50282.42967	51075
139	50283.78911	51075
140	50285.37114	51075
141	50286.8137	51075
142	50287.02077	51075
143	50286.98505	51075
144	50287.7601	51075
145	50291.59063	51075
146	50292.5748	51075
147	50292.69139	51075
148	50293.36043	51075
149	50293.55747	51075
150	50294.57369	51075
151	50295.75812	51075
152	50297.00019	51075
153	50298.1846	51075
154	50300.84806	51075
155	50299.6903	51075
156	50300.79504	51075
157	50300.82365	51075
158	50301.44154	51075
159	50302.23851	51075
160	50302.55886	51075
161	50302.98894	51075
162	50305.53604	51075
163	50306.72743	51075
164	50291.25355	51075
165	50291.05908	51075
166	50292.09649	51075
167	50293.14884	51075
168	50293.49312	51075
169	50294.51457	51075
170	50296.03228	51075
171	50295.96736	51075
172	50296.45654	51075
173	50296.98337	51075
174	50298.08205	51075
175	50298.30321	51075
176	50299.71759	51075
177	50300.65715	51075
178	50300.57238	51075
179	50300.86808	51075
180	50301.84274	51075
181	50301.71972	51075
182	50301.4691	51075
183	50302.01957	51075
184	50302.58821	51075
185	50303.95804	51075
186	50304.36813	51075
187	50304.74775	51075
188	50305.38664	51075
189	50305.5581	51075
190	50305.54282	51075
191	50306.44218	51075
192	50307.4416	51075
193	50309.79989	51075
194	50311.15387	51075
195	50312.50591	51075
196	50313.19692	51075
197	50315.13141	51075
198	50316.10769	51075
199	50316.34195	51075
200	50317.60479	51075
201	50318.21509	51075
202	50318.78504	51075
203	50319.57881	51075
204	50320.09099	51075
205	50321.36489	51075
206	50323.16993	51075
207	50323.51452	51075
208	50324.59006	51075
209	50324.98373	51075
210	50325.78383	51075
211	50326.65615	51075
212	50326.88783	51075
213	50327.24562	51075
214	50327.69248	51075
215	50327.66292	51075
216	50328.59711	51075
217	50329.8481	51075
218	50330.67849	51075
219	50331.35087	51075
220	50332.15864	51075
221	50332.43151	51075
222	50333.07838	51075
223	50333.51986	51075
224	50334.58428	51075
225	50335.92949	51075
226	50336.38096	51075
227	50339.72168	51075
228	50339.70069	51075
229	50340.52336	51075
230	50343.97914	51075
231	50344.93373	51075
232	50345.84908	51075
233	50345.64615	51075
234	50346.18884	51075
235	50348.46012	51075
236	50349.21908	51075
237	50349.44953	51075
238	50349.56375	51075
239	50351.51066	51075
240	50351.81256	51075
241	50352.33757	51075
242	50351.9405	51075
243	50356.09658	51075
244	50355.73622	51075
245	50355.8711	51075
246	50356.65828	51075
247	50356.71038	51075
248	50357.16554	51075
249	50357.43825	51075
250	50361.97811	51075
251	50362.36968	51075
