iter	Passed	Remaining
0	63	127354
1	96	96881
2	130	86877
3	163	81697
4	197	78626
5	231	77071
6	265	75533
7	297	74194
8	330	73158
9	364	72591
10	399	72185
11	432	71685
12	466	71365
13	501	71098
14	535	70799
15	570	70721
16	604	70479
17	637	70244
18	671	70038
19	705	69822
20	739	69701
21	772	69430
22	804	69188
23	837	68968
24	870	68735
25	903	68632
26	936	68407
27	968	68193
28	1000	68018
29	1033	67850
30	1067	67783
31	1099	67621
32	1132	67498
33	1164	67355
34	1198	67260
35	1232	67215
36	1264	67092
37	1297	67010
38	1330	66907
39	1363	66817
40	1397	66771
41	1430	66687
42	1462	66564
43	1495	66477
