number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_data_in_leaf,params_num_boost_round,params_num_leaves,state
0,0.7833611006605538,2025-01-09 19:10:23.202988,2025-01-09 19:10:25.262521,0 days 00:00:02.059533,0.9150607372217195,3,0.769718761986163,0.6369169163523952,1.3649686248528985,0.6157580862712465,130,1562,22,COMPLETE
1,0.7859504744216455,2025-01-09 19:10:25.263207,2025-01-09 19:10:26.599283,0 days 00:00:01.336076,0.9879611534771799,1,0.7276031881873808,0.6433871090598957,1.056722204276478,0.3336355559636675,129,1547,16,COMPLETE
2,0.7805443116219158,2025-01-09 19:10:26.600981,2025-01-09 19:10:28.520210,0 days 00:00:01.919229,0.5104025863089151,2,0.8604719671103194,0.8407777453860519,1.4500794802270642,0.08920536539074701,129,1907,18,COMPLETE
3,0.7812662993201451,2025-01-09 19:10:28.520899,2025-01-09 19:10:30.335533,0 days 00:00:01.814634,0.727670208548185,3,0.7264107911093716,0.9450462667132138,1.1777979761505284,0.10052337810298889,129,4367,16,COMPLETE
4,0.7835453255319953,2025-01-09 19:10:30.336210,2025-01-09 19:10:32.424747,0 days 00:00:02.088537,0.8202554434582219,3,0.8138127084851692,0.7873288182448506,1.345800432626099,0.1136177986512616,130,4347,23,COMPLETE
5,0.7827063515285618,2025-01-09 19:10:32.425444,2025-01-09 19:10:34.828683,0 days 00:00:02.403239,0.6443204602161614,2,0.9716998899452594,0.8323608854706251,1.3026539629329597,0.49252232849282807,130,1907,29,COMPLETE
6,0.7789419578140032,2025-01-09 19:10:34.829366,2025-01-09 19:10:36.992422,0 days 00:00:02.163056,0.6722236642320362,3,0.7574601922878006,0.5272988435576839,1.266077281846266,0.05544855855120026,130,1554,27,COMPLETE
7,0.7853078035153509,2025-01-09 19:10:36.993108,2025-01-09 19:10:39.164076,0 days 00:00:02.170968,0.6234242875515004,2,0.6392269480516068,0.5491653368526526,1.3103982694003264,0.2694412469648649,130,4655,22,COMPLETE
8,0.7760823158388775,2025-01-09 19:10:39.164770,2025-01-09 19:10:40.895603,0 days 00:00:01.730833,0.6032293097065411,3,0.562710609718126,0.7857636989345844,1.4902517888904234,0.9747806877743773,129,4313,26,COMPLETE
9,0.7858509372275682,2025-01-09 19:10:40.896286,2025-01-09 19:10:42.406098,0 days 00:00:01.509812,0.7620119779819903,1,0.5514458191546627,0.629645695224097,1.4075542026134293,0.31736400725972963,129,2771,22,COMPLETE
10,0.785632467091876,2025-01-09 19:10:42.406904,2025-01-09 19:10:44.382848,0 days 00:00:01.975944,0.9882514731896813,1,0.6530292853849917,0.6778030880650204,1.018150611624813,0.15371898675738774,129,3051,32,COMPLETE
11,0.7858563806736915,2025-01-09 19:10:44.383991,2025-01-09 19:10:45.780832,0 days 00:00:01.396841,0.8191040205383342,1,0.5024688965208575,0.6586549190791166,1.1375764887936055,0.2989185587482233,129,2880,19,COMPLETE
12,0.7851936429820837,2025-01-09 19:10:45.781637,2025-01-09 19:10:47.143957,0 days 00:00:01.362320,0.8573090694960435,1,0.5157509691588222,0.6950834223577691,1.110221039663896,0.3759548709459095,129,2913,18,COMPLETE
13,0.7863210323877088,2025-01-09 19:10:47.144769,2025-01-09 19:10:48.617331,0 days 00:00:01.472562,0.9687849758956364,1,0.942178784403572,0.6066111329893612,1.0056316304305593,0.20340109978377285,129,3496,19,COMPLETE
14,0.7844828515533304,2025-01-09 19:10:48.618663,2025-01-09 19:10:49.973627,0 days 00:00:01.354964,0.9949896333211843,1,0.9808968199928443,0.5672893846565361,1.0182393984296012,0.18103625654506783,129,3575,16,COMPLETE
15,0.7866175443259382,2025-01-09 19:10:49.974422,2025-01-09 19:10:51.464668,0 days 00:00:01.490246,0.9260483095326659,1,0.8745538213818012,0.5898421148785843,1.0645903082552133,0.2147010759261112,129,3682,20,COMPLETE
16,0.7861421864773175,2025-01-09 19:10:51.465459,2025-01-09 19:10:53.876424,0 days 00:00:02.410965,0.91304386851957,2,0.906001763936148,0.5832705718965423,1.1935514925214927,0.19805403338871122,129,3524,20,COMPLETE
17,0.7839195715249626,2025-01-09 19:10:53.877586,2025-01-09 19:10:55.336080,0 days 00:00:01.458494,0.9140205634674857,1,0.9154893081825832,0.724121167796763,1.073425613426309,0.1376637593019719,129,3643,20,COMPLETE
18,0.7781300932734573,2025-01-09 19:10:55.336911,2025-01-09 19:10:57.876498,0 days 00:00:02.539587,0.8705658505287102,2,0.9112414105116912,0.5075893060382051,1.208884706830316,0.05660283862206257,129,2432,25,COMPLETE
19,0.7858708777577365,2025-01-09 19:10:57.877204,2025-01-09 19:10:59.362256,0 days 00:00:01.485052,0.934958676452548,1,0.8409159978893741,0.5929367269002292,1.0996851547880995,0.2351917227797541,129,3688,20,COMPLETE
20,0.7844037943460636,2025-01-09 19:10:59.363384,2025-01-09 19:11:00.887008,0 days 00:00:01.523624,0.7634750455292784,1,0.9987634134609805,0.9442332565014754,1.0126282448154131,0.5067919163788589,130,4960,24,COMPLETE
21,0.7865987392165047,2025-01-09 19:11:00.887817,2025-01-09 19:11:03.378559,0 days 00:00:02.490742,0.9471698317169628,2,0.9181403811405326,0.5929602444774644,1.1799545751158156,0.1870212104871213,129,3908,21,COMPLETE
22,0.7857959520670161,2025-01-09 19:11:03.379357,2025-01-09 19:11:05.751564,0 days 00:00:02.372207,0.9533935697909212,2,0.9388322548048552,0.6013246348873361,1.1372430445910082,0.20016081589891752,129,3928,18,COMPLETE
23,0.7845523461642674,2025-01-09 19:11:05.752612,2025-01-09 19:11:08.253654,0 days 00:00:02.501042,0.8699600014681574,2,0.8616880929691332,0.5067949029019727,1.0649936112815397,0.147179468006488,129,3340,21,COMPLETE
24,0.7790259640577186,2025-01-09 19:11:08.254359,2025-01-09 19:11:09.686602,0 days 00:00:01.432243,0.9531904365213059,1,0.9486609449867524,0.7164692543501745,1.1545273612300697,0.07080359822519487,129,3941,19,COMPLETE
25,0.7868506689997207,2025-01-09 19:11:09.687407,2025-01-09 19:11:12.034751,0 days 00:00:02.347344,0.8159713452284023,2,0.8081571283504719,0.5501887313594463,1.237989006761814,0.25144926562571046,129,3983,23,COMPLETE
26,0.7868809349455514,2025-01-09 19:11:12.036794,2025-01-09 19:11:14.508993,0 days 00:00:02.472199,0.8170839339446306,2,0.8033372801535239,0.5494465494291914,1.2289145667520482,0.25655109504047796,129,4076,24,COMPLETE
27,0.7847181165904278,2025-01-09 19:11:14.509693,2025-01-09 19:11:17.201649,0 days 00:00:02.691956,0.830787698584924,2,0.7969013757961976,0.5383516725531633,1.2368313686688428,0.443186930071974,129,4182,28,COMPLETE
28,0.7858648602021892,2025-01-09 19:11:17.202426,2025-01-09 19:11:19.775855,0 days 00:00:02.573429,0.7894242894083856,2,0.6971839999277315,0.5562453299319825,1.2538630191755944,0.24951325924773404,129,4795,24,COMPLETE
29,0.7807909622729875,2025-01-09 19:11:19.777004,2025-01-09 19:11:21.808800,0 days 00:00:02.031796,0.7164388661550404,3,0.7967979611658458,0.6343504944513082,1.2930547973284,0.7384917445994472,130,3264,23,COMPLETE
30,0.7860500647616754,2025-01-09 19:11:21.809573,2025-01-09 19:11:24.359357,0 days 00:00:02.549784,0.8765814308779203,2,0.8680169049556508,0.898127494433973,1.3380879913292985,0.3677410446556155,129,4535,25,COMPLETE
31,0.7856704164131366,2025-01-09 19:11:24.360146,2025-01-09 19:11:26.828698,0 days 00:00:02.468552,0.9013491356152352,2,0.8284999884302928,0.5747236365215457,1.223819798676002,0.1714467942502324,129,4009,21,COMPLETE
32,0.7842691877403827,2025-01-09 19:11:26.829483,2025-01-09 19:11:29.242213,0 days 00:00:02.412730,0.8325364104944176,2,0.7804115302173678,0.6222033592692876,1.274147342895723,0.1254189660480603,129,3810,23,COMPLETE
33,0.7857638591337451,2025-01-09 19:11:29.242999,2025-01-09 19:11:31.650022,0 days 00:00:02.407023,0.8987296682513033,2,0.8802929431979816,0.657426345963879,1.1718162732049298,0.24793275749204727,129,4141,21,COMPLETE
34,0.7867527430442586,2025-01-09 19:11:31.650810,2025-01-09 19:11:34.061496,0 days 00:00:02.410686,0.7914429701819545,2,0.7452215530755373,0.5035793650116964,1.3949137159267877,0.2835197671157681,129,3158,25,COMPLETE
35,0.7862238496074434,2025-01-09 19:11:34.062277,2025-01-09 19:11:36.154874,0 days 00:00:02.092597,0.799090057363232,3,0.706919582063518,0.5074807855780967,1.3890088097239923,0.2909403588755425,129,2528,25,COMPLETE
36,0.7841427843793497,2025-01-09 19:11:36.155664,2025-01-09 19:11:38.553177,0 days 00:00:02.397513,0.712969859566961,2,0.7452041918132856,0.5316788165111582,1.4524538839175902,0.38966841456015316,129,3163,27,COMPLETE
37,0.7839791429346802,2025-01-09 19:11:38.554341,2025-01-09 19:11:40.873043,0 days 00:00:02.318702,0.7866787867658736,3,0.7677440751489194,0.5007438199365047,1.3765965101589408,0.10055593315568581,129,1141,30,COMPLETE
38,0.7865268166231804,2025-01-09 19:11:40.873823,2025-01-09 19:11:43.258811,0 days 00:00:02.384988,0.7397169376245545,2,0.6740265644462352,0.5518282040458152,1.3249720324052834,0.32997134539801487,130,2544,26,COMPLETE
39,0.7812355022901013,2025-01-09 19:11:43.259592,2025-01-09 19:11:45.477506,0 days 00:00:02.217914,0.6796689185169126,2,0.7318696788703902,0.5257168874969709,1.4347391066238824,0.6336645561892059,129,4500,23,COMPLETE
40,0.7853982863993358,2025-01-09 19:11:45.478290,2025-01-09 19:11:47.392713,0 days 00:00:01.914423,0.5343975650680599,3,0.8356866269536145,0.7891144566700871,1.271476158970253,0.218917082690701,129,2261,24,COMPLETE
41,0.7855236189560137,2025-01-09 19:11:47.393505,2025-01-09 19:11:49.780439,0 days 00:00:02.386934,0.8371891390201422,2,0.8884304369975998,0.5737711326713307,1.207312402118532,0.16243028961167802,129,4168,22,COMPLETE
42,0.7869353098785499,2025-01-09 19:11:49.781223,2025-01-09 19:11:52.395551,0 days 00:00:02.614328,0.9416806566963664,2,0.8128202374208634,0.611135166036903,1.1790040899011232,0.26370005953314674,129,3766,26,COMPLETE
43,0.7863864701611605,2025-01-09 19:11:52.396338,2025-01-09 19:11:54.770389,0 days 00:00:02.374051,0.7721081641992522,2,0.8100667441638223,0.6160507965347868,1.2383106710155307,0.2770314596885265,129,3390,26,COMPLETE
44,0.7862394143895135,2025-01-09 19:11:54.771190,2025-01-09 19:11:57.272114,0 days 00:00:02.500924,0.802658030074593,2,0.7801422575262595,0.5388399757628601,1.2941350704000885,0.23210627332879372,129,3695,27,COMPLETE
45,0.7856463342908163,2025-01-09 19:11:57.272902,2025-01-09 19:11:59.886974,0 days 00:00:02.614072,0.8530737084331738,2,0.8456568561452577,0.6588930591537099,1.110644762945044,0.4169103445132176,129,4338,29,COMPLETE
46,0.786108932689444,2025-01-09 19:11:59.887804,2025-01-09 19:12:02.486898,0 days 00:00:02.599094,0.9349681605863974,2,0.6204127496169434,0.5595604922083507,1.0387358255007033,0.3298701784844277,129,3183,25,COMPLETE
47,0.7854540520056346,2025-01-09 19:12:02.487734,2025-01-09 19:12:04.998636,0 days 00:00:02.510902,0.893393912322977,2,0.7513250627486078,0.5235400802098127,1.3581808259912531,0.2715986383411924,129,2770,22,COMPLETE
48,0.7861927413884304,2025-01-09 19:12:04.999461,2025-01-09 19:12:06.723441,0 days 00:00:01.723980,0.7442477901205663,1,0.813358105837152,0.6909039140885207,1.4891258199444513,0.2146455682456609,129,3788,28,COMPLETE
49,0.7852393503366519,2025-01-09 19:12:06.724264,2025-01-09 19:12:09.024627,0 days 00:00:02.300363,0.9715952559122858,3,0.7039076123588718,0.7637491546774847,1.0893028575874453,0.46346932898332316,130,3035,24,COMPLETE
