[3675603][13:54:46:881914][info  ] ----- RMM LOG BEGIN [PTDS DISABLED] -----
[3675603][13:56:59:815887][error ] [A][Stream 0x2][Upstream 120043170816B][FAILURE maximum pool size exceeded]
[3675603][13:57:45:942876][error ] [A][Stream 0x2][Upstream 120043170816B][FAILURE maximum pool size exceeded]
[3675603][14:04:10:687695][error ] [A][Stream 0x2][Upstream 120043170816B][FAILURE maximum pool size exceeded]
[3675603][14:04:30:068510][error ] [A][Stream 0x1][Upstream 51539607552B][FAILURE maximum pool size exceeded]
[3675603][14:05:00:116610][error ] [A][Stream 0x1][Upstream 13510798882111488B][FAILURE maximum pool size exceeded]
[3675603][14:05:07:215804][error ] [A][Stream 0x1][Upstream 9007199254740992B][FAILURE maximum pool size exceeded]
[3675603][14:05:12:539526][error ] [A][Stream 0x1][Upstream 137438953472B][FAILURE maximum pool size exceeded]
[3675603][14:05:27:164392][error ] [A][Stream 0x1][Upstream 32212254720B][FAILURE maximum pool size exceeded]
[3675603][14:05:41:033571][error ] [A][Stream 0x2][Upstream 120043170816B][FAILURE maximum pool size exceeded]
[3675603][14:06:01:959181][error ] [A][Stream 0x1][Upstream 34359738368B][FAILURE maximum pool size exceeded]
[3675603][14:06:08:313898][error ] [A][Stream 0x1][Upstream 9007199254740992B][FAILURE maximum pool size exceeded]
[3675603][14:06:15:618865][error ] [A][Stream 0x1][Upstream 137438953472B][FAILURE maximum pool size exceeded]
[3675603][14:06:22:139452][error ] [A][Stream 0x1][Upstream 34359738368B][FAILURE maximum pool size exceeded]
[3675603][14:06:27:132981][error ] [A][Stream 0x1][Upstream 32212254720B][FAILURE maximum pool size exceeded]
[3675603][14:06:38:536363][error ] [A][Stream 0x2][Upstream 120043170816B][FAILURE maximum pool size exceeded]
[3675603][14:07:37:457462][error ] [A][Stream 0x1][Upstream 25769803776B][FAILURE maximum pool size exceeded]
[3675603][14:07:57:830496][error ] [A][Stream 0x1][Upstream 17179869184B][FAILURE maximum pool size exceeded]
[3675603][14:11:34:600596][error ] [A][Stream 0x2][Upstream 60009677824B][FAILURE maximum pool size exceeded]
[3675603][14:13:16:224878][error ] [A][Stream 0x2][Upstream 60009677824B][FAILURE maximum pool size exceeded]
