number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_epochs,params_feature_set,params_learning_rate,params_n_hidden_layers,params_units_per_layer,params_use_dropout,state
0,,2025-02-26 23:10:40.676447,2025-02-26 23:10:42.760464,0 days 00:00:02.084017,tanh,128.0,0.30000000000000004,20.0,core_speed,0.00010994335574766199,3.0,80.0,True,FAIL
1,,2025-02-26 23:17:32.108087,2025-02-26 23:17:34.186959,0 days 00:00:02.078872,gelu,256.0,,30.0,race_context,0.0004461676378355893,2.0,32.0,False,FAIL
2,,2025-02-26 23:28:23.775549,2025-02-26 23:28:23.780450,0 days 00:00:00.004901,,,,,,,,,,FAIL
3,,2025-02-26 23:31:44.380266,2025-02-26 23:34:30.160410,0 days 00:02:45.780144,gelu,128.0,,90.0,,0.004874406622270175,3.0,400.0,False,FAIL
4,,2025-02-26 23:54:07.654460,2025-02-26 23:56:47.609582,0 days 00:02:39.955122,tanh,128.0,0.4,90.0,,0.0004845531490768634,1.0,368.0,True,FAIL
5,,2025-02-27 00:05:16.464353,2025-02-27 00:06:18.459846,0 days 00:01:01.995493,softplus,1024.0,0.30000000000000004,60.0,,0.00020534583534008452,3.0,224.0,True,FAIL
6,,2025-02-27 00:06:18.466554,2025-02-27 00:07:38.987837,0 days 00:01:20.521283,relu,512.0,,80.0,,0.0020803460080013815,4.0,112.0,False,FAIL
7,,2025-02-27 00:07:38.992816,2025-02-27 00:08:45.388805,0 days 00:01:06.395989,selu,512.0,0.5,10.0,,0.0011229151338175846,1.0,240.0,True,FAIL
8,,2025-02-27 00:08:45.393472,2025-02-27 00:09:45.877540,0 days 00:01:00.484068,relu,1024.0,0.5,80.0,,0.0004949526266306606,3.0,192.0,True,FAIL
9,,2025-02-27 00:09:45.882226,2025-02-27 00:11:08.553072,0 days 00:01:22.670846,tanh,512.0,,40.0,,0.0046034877936305665,5.0,128.0,False,FAIL
10,,2025-02-27 00:11:08.558019,2025-02-27 00:11:52.183095,0 days 00:00:43.625076,tanh,1024.0,0.5,60.0,,0.00012645140623012823,5.0,448.0,True,FAIL
11,,2025-02-27 00:19:51.417289,2025-02-27 00:21:39.939972,0 days 00:01:48.522683,gelu,128.0,0.30000000000000004,40.0,,0.001280813649298101,3.0,464.0,True,FAIL
12,,2025-02-27 00:25:14.013415,2025-02-27 00:25:15.994607,0 days 00:00:01.981192,softplus,512.0,0.1,90.0,,0.0035246768091787848,3.0,464.0,True,FAIL
13,,2025-02-27 00:29:27.128767,2025-02-27 00:30:26.900719,0 days 00:00:59.771952,tanh,1024.0,,30.0,,0.004097141468066756,2.0,304.0,False,FAIL
14,,2025-02-27 00:30:26.907724,2025-02-27 00:31:40.815624,0 days 00:01:13.907900,gelu,512.0,,80.0,,0.0026466023513971645,2.0,192.0,False,FAIL
15,,2025-02-27 00:31:40.820720,2025-02-27 00:32:38.988065,0 days 00:00:58.167345,tanh,1024.0,0.30000000000000004,70.0,,0.005650793123818621,1.0,400.0,True,FAIL
16,,2025-02-27 00:32:38.992866,2025-02-27 00:35:19.484076,0 days 00:02:40.491210,tanh,128.0,0.5,60.0,,0.001311260925901708,1.0,320.0,True,FAIL
17,,2025-02-27 00:35:19.489389,2025-02-27 00:37:27.274294,0 days 00:02:07.784905,gelu,256.0,0.4,20.0,,0.005735230564889582,4.0,256.0,True,FAIL
18,,2025-02-27 00:37:27.279170,2025-02-27 00:40:38.135860,0 days 00:03:10.856690,selu,128.0,0.1,30.0,,0.0019560085494319842,4.0,272.0,True,FAIL
19,,2025-02-27 00:40:38.140668,2025-02-27 00:42:12.905638,0 days 00:01:34.764970,gelu,256.0,,10.0,,0.0012273319501377238,2.0,272.0,False,FAIL
20,,2025-02-27 00:42:12.910294,2025-02-27 00:42:53.589660,0 days 00:00:40.679366,softplus,256.0,0.4,70.0,,0.0006467627117385445,2.0,144.0,True,FAIL
21,0.09210705757141113,2025-02-27 00:43:36.085392,2025-02-27 00:46:09.590544,0 days 00:02:33.505152,relu,512.0,0.2,20.0,,0.004295032734333094,5.0,80.0,True,COMPLETE
22,0.41207677125930786,2025-02-27 00:46:09.600750,2025-02-27 00:48:37.492292,0 days 00:02:27.891542,selu,1024.0,,30.0,,0.0008125139378618241,1.0,320.0,False,COMPLETE
23,0.07201916724443436,2025-02-27 00:48:37.499700,2025-02-27 00:53:46.841870,0 days 00:05:09.342170,relu,512.0,0.2,40.0,,0.0013577539349232666,5.0,432.0,True,COMPLETE
24,0.05349452421069145,2025-02-27 00:53:46.849685,2025-02-27 00:58:06.551701,0 days 00:04:19.702016,relu,128.0,,90.0,,0.0012121581322565857,2.0,64.0,False,COMPLETE
25,0.030463477596640587,2025-02-27 00:58:06.560448,2025-02-27 01:07:06.668407,0 days 00:09:00.107959,tanh,1024.0,0.5,100.0,,0.0007515157030839904,4.0,352.0,True,COMPLETE
26,0.036772485822439194,2025-02-27 01:07:06.676861,2025-02-27 01:16:11.288563,0 days 00:09:04.611702,softplus,128.0,0.2,50.0,,0.0013516608571160671,4.0,48.0,True,COMPLETE
27,1465.943603515625,2025-02-27 01:16:11.296603,2025-02-27 01:16:15.633772,0 days 00:00:04.337169,selu,1024.0,0.5,100.0,,0.0005647680318010804,3.0,368.0,True,PRUNED
28,0.17273648083209991,2025-02-27 01:16:15.638550,2025-02-27 01:16:34.820894,0 days 00:00:19.182344,relu,1024.0,0.2,80.0,,0.0054690680196877286,3.0,384.0,True,PRUNED
29,845.6724243164062,2025-02-27 01:16:34.825242,2025-02-27 01:16:38.691940,0 days 00:00:03.866698,softplus,1024.0,,60.0,,0.0012892716796454897,2.0,240.0,False,PRUNED
30,66.40542602539062,2025-02-27 01:16:38.696156,2025-02-27 01:16:43.491193,0 days 00:00:04.795037,selu,1024.0,0.1,30.0,,0.0005998006675883244,4.0,272.0,True,PRUNED
31,0.06963465362787247,2025-02-27 01:16:43.495726,2025-02-27 01:19:33.910312,0 days 00:02:50.414586,tanh,256.0,,70.0,,0.0030430943544849966,4.0,496.0,False,COMPLETE
32,0.16181163489818573,2025-02-27 01:19:33.917902,2025-02-27 01:20:08.308087,0 days 00:00:34.390185,gelu,128.0,0.5,50.0,,0.008870740847102794,4.0,160.0,True,PRUNED
33,0.20519530773162842,2025-02-27 01:20:08.313498,2025-02-27 01:20:24.285895,0 days 00:00:15.972397,softplus,128.0,0.4,10.0,,0.0020251850365616483,4.0,192.0,True,PRUNED
34,0.03574342653155327,2025-02-27 01:20:24.290102,2025-02-27 01:29:07.294530,0 days 00:08:43.004428,tanh,256.0,0.30000000000000004,60.0,,0.000878227406903873,5.0,128.0,True,PRUNED
35,0.1929440051317215,2025-02-27 01:29:07.299293,2025-02-27 01:29:21.452068,0 days 00:00:14.152775,softplus,128.0,0.30000000000000004,100.0,,0.0018415153740244396,3.0,272.0,True,PRUNED
36,0.036332324147224426,2025-02-27 01:29:21.456283,2025-02-27 01:42:45.943751,0 days 00:13:24.487468,tanh,128.0,0.4,80.0,,0.0008965614616355021,4.0,512.0,True,PRUNED
37,0.8071649670600891,2025-02-27 01:42:45.948675,2025-02-27 01:42:51.793648,0 days 00:00:05.844973,gelu,512.0,0.1,50.0,,0.0005138883579424295,3.0,16.0,True,PRUNED
38,0.03649516403675079,2025-02-27 01:42:51.797999,2025-02-27 01:52:32.418066,0 days 00:09:40.620067,tanh,256.0,0.4,70.0,,0.0016349909004892984,5.0,432.0,True,PRUNED
39,4.7357611656188965,2025-02-27 01:52:32.423061,2025-02-27 01:52:36.334941,0 days 00:00:03.911880,softplus,1024.0,,40.0,,0.002615796382808908,2.0,208.0,False,PRUNED
40,0.03882595896720886,2025-02-27 01:52:36.340593,2025-02-27 02:05:35.641956,0 days 00:12:59.301363,tanh,128.0,0.2,80.0,,0.0010745592688751842,4.0,320.0,True,PRUNED
41,421134.78125,2025-02-27 02:05:35.646902,2025-02-27 02:05:39.859790,0 days 00:00:04.212888,softplus,1024.0,0.30000000000000004,70.0,,0.0007250575706604619,1.0,16.0,True,PRUNED
42,3.567086696624756,2025-02-27 02:05:39.864343,2025-02-27 02:05:53.246998,0 days 00:00:13.382655,relu,128.0,,90.0,,0.0011466340122942462,2.0,112.0,False,PRUNED
43,436.7724914550781,2025-02-27 02:05:53.251745,2025-02-27 02:06:06.690123,0 days 00:00:13.438378,relu,128.0,,90.0,,0.0014391023348691578,2.0,64.0,False,PRUNED
44,2.9519784450531006,2025-02-27 02:06:06.694732,2025-02-27 02:06:20.233474,0 days 00:00:13.538742,gelu,128.0,,100.0,,0.00104668762540185,3.0,64.0,False,PRUNED
45,6598.27685546875,2025-02-27 02:06:20.237701,2025-02-27 02:06:33.522906,0 days 00:00:13.285205,softplus,128.0,,90.0,,0.0006953965961302619,1.0,160.0,False,PRUNED
46,0.6243188381195068,2025-02-27 02:06:33.527134,2025-02-27 02:06:47.444384,0 days 00:00:13.917250,relu,128.0,,90.0,,0.0016908907637377913,3.0,320.0,False,PRUNED
47,0.04009648412466049,2025-02-27 02:06:47.448610,2025-02-27 02:14:08.438411,0 days 00:07:20.989801,tanh,256.0,,60.0,,0.0010040044697338351,2.0,48.0,False,PRUNED
48,0.3826891779899597,2025-02-27 02:14:08.443528,2025-02-27 02:14:14.660293,0 days 00:00:06.216765,relu,512.0,0.5,100.0,,0.00129973061341688,4.0,96.0,True,PRUNED
49,0.03651263564825058,2025-02-27 02:14:14.665056,2025-02-27 02:32:38.948231,0 days 00:18:24.283175,tanh,128.0,,40.0,,0.0007140208873539895,5.0,128.0,False,COMPLETE
50,0.04695970192551613,2025-02-27 02:32:38.956669,2025-02-27 02:36:42.164667,0 days 00:04:03.207998,tanh,512.0,0.30000000000000004,20.0,,0.0006721353276869737,5.0,192.0,True,COMPLETE
51,0.03562547639012337,2025-02-27 02:36:42.174304,2025-02-27 02:42:27.145422,0 days 00:05:44.971118,tanh,1024.0,0.4,40.0,,0.0005090370834993117,5.0,144.0,True,COMPLETE
52,0.03591569513082504,2025-02-27 02:42:27.154483,2025-02-27 02:47:22.924997,0 days 00:04:55.770514,tanh,1024.0,0.4,40.0,,0.0005281152525664504,5.0,144.0,True,COMPLETE
53,0.11102450639009476,2025-02-27 02:47:22.933438,2025-02-27 02:47:33.437210,0 days 00:00:10.503772,tanh,1024.0,0.4,40.0,,0.0005211086703882032,5.0,144.0,True,PRUNED
54,0.12655329704284668,2025-02-27 02:47:33.441581,2025-02-27 02:47:44.308925,0 days 00:00:10.867344,tanh,1024.0,0.5,30.0,,0.000779006522646209,5.0,240.0,True,PRUNED
55,0.11090822517871857,2025-02-27 02:47:44.313153,2025-02-27 02:47:54.781032,0 days 00:00:10.467879,tanh,1024.0,0.4,20.0,,0.0006229180887566451,5.0,176.0,True,PRUNED
56,0.09760146588087082,2025-02-27 02:47:54.785604,2025-02-27 02:48:16.031442,0 days 00:00:21.245838,tanh,1024.0,0.5,40.0,,0.0005055767513215709,5.0,112.0,True,PRUNED
57,0.13727298378944397,2025-02-27 02:48:16.035713,2025-02-27 02:48:26.033517,0 days 00:00:09.997804,tanh,1024.0,,30.0,,0.0007506426014512664,5.0,224.0,False,PRUNED
58,179.32960510253906,2025-02-27 02:48:26.038221,2025-02-27 02:48:30.911112,0 days 00:00:04.872891,selu,1024.0,0.4,50.0,,0.00060179372500306,5.0,352.0,True,PRUNED
59,0.2087341845035553,2025-02-27 02:48:30.915287,2025-02-27 02:48:35.818643,0 days 00:00:04.903356,tanh,1024.0,0.5,30.0,,0.0008758404734249913,5.0,416.0,True,PRUNED
60,0.13452816009521484,2025-02-27 02:48:35.823119,2025-02-27 02:48:45.619187,0 days 00:00:09.796068,tanh,1024.0,,40.0,,0.0006298918495341065,4.0,304.0,False,PRUNED
61,0.04901615530252457,2025-02-27 02:48:45.623492,2025-02-27 02:49:52.921650,0 days 00:01:07.298158,tanh,1024.0,0.4,10.0,,0.0005023820421576666,4.0,96.0,True,COMPLETE
62,1310.00927734375,2025-02-27 02:50:07.772309,2025-02-27 02:50:12.988061,0 days 00:00:05.215752,selu,1024.0,0.30000000000000004,50.0,,0.0007848069264766975,5.0,48.0,True,PRUNED
63,0.3545011878013611,2025-02-27 02:50:12.992516,2025-02-27 02:50:28.527761,0 days 00:00:15.535245,softplus,128.0,0.30000000000000004,50.0,,0.0006002762612669795,4.0,128.0,True,PRUNED
64,0.04825668781995773,2025-02-27 02:50:28.532007,2025-02-27 02:54:24.281788,0 days 00:03:55.749781,tanh,512.0,0.4,40.0,,0.0006958745508190819,4.0,80.0,True,PRUNED
65,0.8154467344284058,2025-02-27 02:54:24.286249,2025-02-27 02:54:29.323923,0 days 00:00:05.037674,gelu,1024.0,0.2,60.0,,0.000947119405640876,5.0,160.0,True,PRUNED
66,0.05900963023304939,2025-02-27 02:54:29.328399,2025-02-27 02:59:13.809507,0 days 00:04:44.481108,tanh,128.0,0.5,20.0,,0.0007812362927870942,4.0,480.0,True,PRUNED
67,0.5475944876670837,2025-02-27 02:59:13.814238,2025-02-27 02:59:23.446282,0 days 00:00:09.632044,softplus,256.0,0.2,50.0,,0.000588983245306724,5.0,32.0,True,PRUNED
68,3474.262939453125,2025-02-27 02:59:23.450525,2025-02-27 02:59:28.273316,0 days 00:00:04.822791,selu,1024.0,0.1,30.0,,0.0008859038459174643,4.0,256.0,True,PRUNED
69,0.06918683648109436,2025-02-27 02:59:28.277987,2025-02-27 03:02:27.996451,0 days 00:02:59.718464,tanh,128.0,,60.0,,0.0011290965019451382,5.0,384.0,False,PRUNED
70,0.06311512738466263,2025-02-27 03:02:28.000946,2025-02-27 03:03:30.395651,0 days 00:01:02.394705,tanh,1024.0,0.5,40.0,,0.0005531837910461271,4.0,128.0,True,PRUNED
71,0.3218647837638855,2025-02-27 03:03:30.400403,2025-02-27 03:03:44.768771,0 days 00:00:14.368368,softplus,128.0,0.2,50.0,,0.0006552171578157929,3.0,208.0,True,PRUNED
72,0.04120098799467087,2025-02-27 03:03:44.773027,2025-02-27 03:07:49.006038,0 days 00:04:04.233011,tanh,512.0,0.30000000000000004,20.0,,0.0006839170149223314,5.0,192.0,True,COMPLETE
73,0.1599799543619156,2025-02-27 03:07:49.014696,2025-02-27 03:08:11.596791,0 days 00:00:22.582095,tanh,512.0,0.30000000000000004,20.0,,0.0005684119741475545,5.0,288.0,True,PRUNED
74,0.05299084261059761,2025-02-27 03:08:11.601046,2025-02-27 03:10:16.891527,0 days 00:02:05.290481,tanh,512.0,0.4,10.0,,0.0008030639154287329,5.0,144.0,True,COMPLETE
